"2020WARN001R5","=""5059082179321""","EAN","KPCM Display ltd","Warning rapid movement of workpiece safety sign - 1mm Plastic sign","Warning rapid movement of workpiece safety sign - 1mm Plastic sign. All signs come with a 5 year warranty.","Warning rapid movement of workpiece safety sign","1mm Plastic sign","Digitally printed and laminated for extra durability","Drill and screw in position or use double sided tape to mount onto suitable surface","https://cdn-images.imagevenue.com/75/d1/7e/ME14I35Q_o.jpg","14.29","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179321""","New","1","number of unit per package","2020WARN001R0","600mm x 400mm","Variation"
"2020WARN001D0","=""5059082179338""","EAN","KPCM Display ltd","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Warning rapid movement of workpiece safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/75/d1/7e/ME14I35Q_o.jpg","","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179338""","New","1","number of unit per package","","Size","Variation"
"2020WARN001D1","=""5059082179345""","EAN","KPCM Display ltd","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Warning rapid movement of workpiece safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/75/d1/7e/ME14I35Q_o.jpg","7.89","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179345""","New","1","number of unit per package","2020WARN001D0","200mm x 150mm","Variation"
"2020WARN001D2","=""5059082179352""","EAN","KPCM Display ltd","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Warning rapid movement of workpiece safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/75/d1/7e/ME14I35Q_o.jpg","9.89","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179352""","New","1","number of unit per package","2020WARN001D0","300mm x 200mm","Variation"
"2020WARN001D3","=""5059082179369""","EAN","KPCM Display ltd","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Warning rapid movement of workpiece safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/75/d1/7e/ME14I35Q_o.jpg","18.99","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179369""","New","1","number of unit per package","2020WARN001D0","400mm x 300mm","Variation"
"2020WARN001D4","=""5059082179376""","EAN","KPCM Display ltd","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign","Warning rapid movement of workpiece safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Warning rapid movement of workpiece safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/75/d1/7e/ME14I35Q_o.jpg","29.99","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179376""","New","1","number of unit per package","2020WARN001D0","600mm x 400mm","Variation"
"2020WARN002S0","=""5059082179383""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - Self adhesive sticker","Caution high winds take opening door safety sign - Self adhesive sticker. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","Self adhesive sticker","Digitally printed and laminated for extra durability","Remove backing film and apply to dry smooth oil free surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179383""","New","1","number of unit per package","","Size","Variation"
"2020WARN002S1","=""5059082179390""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - Self adhesive sticker","Caution high winds take opening door safety sign - Self adhesive sticker. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","Self adhesive sticker","Digitally printed and laminated for extra durability","Remove backing film and apply to dry smooth oil free surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","1.49","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179390""","New","1","number of unit per package","2020WARN002S0","100mm x 150mm","Variation"
"2020WARN002S2","=""5059082179406""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - Self adhesive sticker","Caution high winds take opening door safety sign - Self adhesive sticker. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","Self adhesive sticker","Digitally printed and laminated for extra durability","Remove backing film and apply to dry smooth oil free surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","1.99","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179406""","New","1","number of unit per package","2020WARN002S0","200mm x 150mm","Variation"
"2020WARN002S3","=""5059082179413""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - Self adhesive sticker","Caution high winds take opening door safety sign - Self adhesive sticker. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","Self adhesive sticker","Digitally printed and laminated for extra durability","Remove backing film and apply to dry smooth oil free surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","3.49","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179413""","New","1","number of unit per package","2020WARN002S0","300mm x 200mm","Variation"
"2020WARN002S4","=""5059082179420""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - Self adhesive sticker","Caution high winds take opening door safety sign - Self adhesive sticker. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","Self adhesive sticker","Digitally printed and laminated for extra durability","Remove backing film and apply to dry smooth oil free surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","6.49","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179420""","New","1","number of unit per package","2020WARN002S0","400mm x 300mm","Variation"
"2020WARN002R0","=""5059082179437""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 1mm Plastic sign","Caution high winds take opening door safety sign - 1mm Plastic sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","1mm Plastic sign","Digitally printed and laminated for extra durability","Drill and screw in position or use double sided tape to mount onto suitable surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179437""","New","1","number of unit per package","","Size","Variation"
